Time,Temperature,,
21:34:51,194,,"Width was 18.3 cm near center, measured with ruler"
21:34:56,205,,
21:35:01,207,,
21:35:06,207,,
21:35:11,207,,
21:35:16,207,,
21:35:41,205,,
21:36:01,203,,
21:36:16,201,,
21:36:41,199,,
21:36:56,198,,
21:37:16,196,,
21:37:36,194,,
21:37:56,192,,
21:38:16,190,,
21:38:41,189,,
21:39:01,187,,
21:39:26,185,,
21:39:51,183,,
21:40:16,181,,
21:40:46,180,,
21:41:16,178,,
21:41:46,176,,
21:42:16,174,,
21:42:51,172,,
21:43:26,171,,
21:44:01,169,,
21:44:36,167,,
21:45:11,165,,
21:45:51,163,,
21:46:31,162,,
21:47:16,160,,
21:47:56,158,,
21:48:41,156,,
21:49:26,154,,
21:50:11,153,,
21:51:01,151,,
21:51:56,149,,
21:52:46,147,,
21:53:36,145,,
21:54:31,144,,
21:55:26,142,,
21:56:26,140,,
21:57:31,138,,
21:58:51,136,,
22:00:36,135,,
22:03:16,133,,
22:06:56,131,,
22:11:26,129,,
22:14:16,129,,
