Time,Temperature,,Dt,Fit T,,,
9:57:21,97,,0,225,,About 18.25 cm wide,
9:57:26,129,,0.08333333333,224.0286471,,A const,130
9:57:31,156,,0.1666666667,223.0645521,,b const,-0.09
9:57:36,181,,0.25,222.1076608,,floor,95
9:57:41,199,,0.3333333333,221.1579194,,,
9:57:46,208,,0.4166666667,220.2152743,,,
9:57:51,208,,0.5,219.2796726,,,
9:57:56,214,,0.5833333333,218.3510617,,,
9:58:01,216,,0.6666666667,217.4293894,,,
9:58:26,214,,1.083333333,212.9233044,,,
9:58:41,212,,1.333333333,210.2996568,,,
9:58:46,210,,1.416666667,209.4381441,,,
9:58:56,208,,1.583333333,207.7343821,,,
9:59:06,207,,1.75,206.0559858,,,
9:59:16,205,,1.916666667,204.4025775,,,
9:59:26,203,,2.083333333,202.7737854,,,
9:59:31,201,,2.166666667,201.9685055,,,
9:59:46,199,,2.416666667,199.5885886,,,
9:59:56,198,,2.583333333,198.0314674,,,
10:00:06,196,,2.75,196.4975287,,,
10:00:16,194,,2.916666667,194.9864274,,,
10:00:31,192,,3.166666667,192.7618531,,,
10:00:41,190,,3.333333333,191.3063687,,,
10:00:56,189,,3.583333333,189.1636711,,,
10:01:11,187,,3.833333333,187.068646,,,
10:01:21,185,,4,185.6979224,,,
10:01:31,183,,4.166666667,184.3476062,,,
10:01:46,181,,4.416666667,182.3597325,,,
10:02:01,180,,4.666666667,180.4160866,,,
10:02:16,178,,4.916666667,178.5156843,,,
10:02:31,176,,5.166666667,176.6575637,,,
10:02:51,174,,5.5,174.2442179,,,
10:03:06,172,,5.75,172.4811321,,,
10:03:21,171,,6,170.7572728,,,
10:03:41,169,,6.333333333,168.518307,,,
10:03:56,167,,6.583333333,166.8826157,,,
10:04:11,165,,6.833333333,165.2833164,,,
10:04:31,163,,7.166666667,163.2061305,,,
10:04:46,162,,7.416666667,161.6886285,,,
10:05:11,160,,7.833333333,159.2341147,,,
10:05:26,158,,8.083333333,157.8049851,,,
10:05:46,156,,8.416666667,155.9488172,,,
10:06:11,154,,8.833333333,153.7055605,,,
10:06:31,153,,9.166666667,151.970549,,,
10:06:56,151,,9.583333333,149.8737148,,,
10:07:16,149,,9.916666667,148.2519514,,,
10:07:41,147,,10.33333333,146.2919823,,,
10:08:06,145,,10.75,144.4041511,,,
10:08:31,144,,11.16666667,142.5858025,,,
10:09:01,142,,11.66666667,140.4919074,,,
10:09:31,140,,12.16666667,138.4901489,,,
10:10:01,138,,12.66666667,136.5764728,,,
10:10:41,136,,13.33333333,134.1552475,,,
10:11:36,135,,14.25,131.0545998,,,
10:12:56,133,,15.58333333,126.9775614,,,
10:14:41,131,,17.33333333,122.3176893,,,
10:15:51,131,,18.5,119.5947855,,,
